Area,State,Type of place ,Places made,Applications received,Places sought
New South Wales ,,,,,
Central Coast ,NSW,Residential aged care places ,460,16,"1,780"
Central Coast ,NSW,Home care places ,200,43,"4,576"
Central West ,NSW,Residential aged care places ,60,3,153
Central West ,NSW,Home care places ,51,20,781
Far North Coast ,NSW,Residential aged care places ,210,5,264
Far North Coast ,NSW,Home care places ,107,39,"2,228"
Hunter ,NSW,Residential aged care places ,110,11,410
Hunter ,NSW,Home care places ,147,49,"3,941"
Illawarra ,NSW,Residential aged care places ,210,8,434
Illawarra ,NSW,Home care places ,162,43,"3,457"
Inner West ,NSW,Residential aged care places ,60,4,201
Inner West ,NSW,Home care places ,147,61,"4,488"
Mid North Coast ,NSW,Residential aged care places ,260,6,384
Mid North Coast ,NSW,Home care places ,112,43,"2,802"
Nepean ,NSW,Residential aged care places ,160,5,422
Nepean ,NSW,Home care places ,79,35,"2,379"
New England ,NSW,Residential aged care places ,60,0,0
New England ,NSW,Home care places ,30,18,544
Northern Sydney ,NSW,Residential aged care places ,60,21,992
Northern Sydney ,NSW,Home care places ,237,51,"4,872"
Orana Far West ,NSW,Residential aged care places ,50,3,70
Orana Far West ,NSW,Home care places ,30,18,512
Riverina Murray ,NSW,Residential aged care places ,97,4,188
Riverina Murray ,NSW,Home care places ,132,25,"1,696"
South East Sydney ,NSW,Residential aged care places ,60,17,693
South East Sydney ,NSW,Home care places ,192,79,"6,278"
South West Sydney ,NSW,Residential aged care places ,460,20,"1,975"
South West Sydney ,NSW,Home care places ,297,73,"8,066"
Southern Highlands ,NSW,Residential aged care places ,148,5,206
Southern Highlands ,NSW,Home care places ,77,31,"1,476"
Western Sydney ,NSW,Residential aged care places ,410,20,"1,691"
Western Sydney ,NSW,Home care places ,245,60,"6,206"
Victoria ,,,,,
Barwon-South Western ,VIC,Residential aged care places ,100,9,423
Barwon-South Western ,VIC,Home care places ,95,36,"1,887"
Eastern Metropolitan ,VIC,Residential aged care places ,750,44,"3,586"
Eastern Metropolitan ,VIC,Home care places ,402,63,"8,078"
Gippsland ,VIC,Residential aged care places ,430,14,878
Gippsland ,VIC,Home care places ,102,22,"1,139"
Grampians ,VIC,Residential aged care places ,100,4,144
Grampians ,VIC,Home care places ,57,24,991
Hume ,VIC,Residential aged care places ,400,11,798
Hume ,VIC,Home care places ,91,22,"1,087"
Loddon-Mallee ,VIC,Residential aged care places ,450,14,544
Loddon-Mallee ,VIC,Home care places ,145,23,"1,691"
Northern Metropolitan ,VIC,Residential aged care places ,100,22,"1,570"
Northern Metropolitan ,VIC,Home care places ,171,64,"4,905"
Southern Metropolitan ,VIC,Residential aged care places ,400,46,"3,554"
Southern Metropolitan ,VIC,Home care places ,412,82,"9,612"
Western Metropolitan ,VIC,Residential aged care places ,350,16,"1,655"
Western Metropolitan ,VIC,Home care places ,187,54,"4,624"
