Area,State,Type of place ,Places made,Applications received,Places sought
Queensland ,,,,,
Brisbane North ,QLD,Residential aged care places ,100,16,"1,476"
Brisbane North ,QLD,Home care places ,39,49,"1,354"
Brisbane South ,QLD,Residential aged care places ,100,23,"1,649"
Brisbane South ,QLD,Home care places ,67,53,"2,119"
Cabool ,QLD,Residential aged care places ,376,12,"1,064"
Cabool ,QLD,Home care places ,40,36,"1,020"
Central West ,QLD,Residential aged care places ,50,1,14
Central West ,QLD,Home care places ,5,4,17
Darling Downs ,QLD,Residential aged care places ,152,7,300
Darling Downs ,QLD,Home care places ,54,23,785
Far North ,QLD,Residential aged care places ,416,9,820
Far North ,QLD,Home care places ,109,16,"1,007"
Fitzroy ,QLD,Residential aged care places ,100,2,150
Fitzroy ,QLD,Home care places ,15,12,180
Logan River Valley ,QLD,Residential aged care places ,421,8,832
Logan River Valley ,QLD,Home care places ,100,42,"2,135"
Mackay ,QLD,Residential aged care places ,100,4,256
Mackay ,QLD,Home care places ,5,10,50
North West ,QLD,Residential aged care places ,53,0,0
North West ,QLD,Home care places ,5,2,8
Northern ,QLD,Residential aged care places ,100,4,199
Northern ,QLD,Home care places ,34,21,569
South Coast ,QLD,Residential aged care places ,140,10,660
South Coast ,QLD,Home care places ,126,40,"2,412"
South West ,QLD,Residential aged care places ,69,0,0
South West ,QLD,Home care places ,10,5,40
Sunshine Coast ,QLD,Residential aged care places ,100,11,981
Sunshine Coast ,QLD,Home care places,110,43,"2,085"
West Moreton,QLD,Residential aged care places,347,9,844
West Moreton,QLD,Home care places,68,30,"1,431"
Wide Bay,QLD,Residential aged care places,496,7,708
Wide Bay,QLD,Home care places,93,22,"1,433"
Western Australia,,,,,
Goldfields,WA,Residential aged care places,200a,1,30
Goldfields,WA,Home care places,65ˆµö,3,28
Great Southern,WA,Residential aged care places,200a,0,0
Great Southern,WA,Home care places,65ˆµö,4,105
Kimberley,WA,Residential aged care places,200a,0,0
Kimberley,WA,Home care places,65ˆµö,3,31
Metropolitan East,WA,Residential aged care places,250ˆ_“,7,571
Metropolitan East,WA,Home care places,343d,36,"1,394"
Metropolitan North,WA,Residential aged care places,200,10,597
Metropolitan North,WA,Home care places,343d,39,"1,973"
Metropolitan South East,WA,Residential aged care places,250ˆ_“,14,769
Metropolitan South East,WA,Home care places,343d,36,"1,567"
Metropolitan South West,WA,Residential aged care places,410,11,955
Metropolitan South West,WA,Home care places,343d,36,"1,632"
Mid West,WA,Residential aged care places,200a,0,0
Mid West,WA,Home care places,65ˆµö,3,30
Pilbara,WA,Residential aged care places,200a,0,0
Pilbara,WA,Home care places,65ˆµö,2,15
South West,WA,Residential aged care places,200,2,76
South West,WA,Home care places,30,11,243
Wheatbelt,WA,Residential aged care places,200a,2,42
Wheatbelt,WA,Home care places,65ˆµö,5,120
South Australia,,,,,
Eyre Peninsula,SA,Residential aged care places,40e,0,0
Eyre Peninsula,SA,Home care places,21,9,196
Flinders & Far North,SA,Residential aged care places,0,0,0
Flinders & Far North,SA,Home care places,7,4,28
"Hills, Mallee & Southern",SA,Residential aged care places,90,7,177
"Hills, Mallee & Southern",SA,Home care places,80,21,"1,113"
Metropolitan East,SA,Residential aged care places,0,3,42
Metropolitan East,SA,Home care places,60,39,"1,608"
Metropolitan North,SA,Residential aged care places,120,15,614
Metropolitan North,SA,Home care places,155,39,"2,787"
Metropolitan South,SA,Residential aged care places,0,11,639
Metropolitan South,SA,Home care places,120,40,"2,502"
Metropolitan West,SA,Residential aged care places,0,6,182
Metropolitan West,SA,Home care places,55,35,"1,237"
Mid North,SA,Residential aged care places,40e,2,50
Mid North,SA,Home care places,7,7,51
Riverland,SA,Residential aged care places,40e,2,20
South East,SA,Residential aged care places,40e,0,0
South East,SA,Home care places,30,8,215
"Yorke, Lower North & Barossa",SA,Residential aged care places,40e,5,96
"Yorke, Lower North & Barossa",SA,Home care places,45,16,621
Tasmania,,,,,
North Western,TAS,Residential aged care places,80f,3,39
North Western,TAS,Home care places,57,23,885
Northern,TAS,Residential aged care places,80f,3,71
Northern,TAS,Home care places,54,22,"1,061"
Southern,TAS,Residential aged care places,80f,6,242
Southern,TAS,Home care places,43,29,"1,124"
Australian Capital Territory,,,,,
ACT,ACT,Residential aged care places,210,13,599
ACT,ACT,Home care places,61,29,"1,100"
Northern Territory,,,,,
Alice Springs,NT,Residential aged care places,65g,0,0
Alice Springs,NT,Home care places,15g,4,38
Barkly,NT,Residential aged care places,65g,0,0
Barkly,NT,Home care places,15g,5,10
Darwin,NT,Residential aged care places,65g,1,80
Darwin,NT,Home care places,15g,7,65
East Arnhem,NT,Residential aged care places,65g,0,0
East Arnhem,NT,Home care places,15g,1,3
Katherine,NT,Residential aged care places,65g,0,0
Katherine,NT,Home care places,15g,2,5
