,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
7403,True,False,-33.9770343,150.9002004,16m2,The Whiddon Group - Glenfield - Easton Park,299000.0,51.44
7404,True,False,-29.6744674,152.9421166,16m2,The Whiddon Group - Grafton,299000.0,51.44
7410,True,False,-33.4072222,149.6126374,23-24m2,The Whiddon Group - Kelso,299000.0,51.44
7411,True,False,-33.4072222,149.6126374,19.4,The Whiddon Group - Kelso,375000.0,64.52
7412,True,False,-33.4072222,149.6126374,23-24m2,The Whiddon Group - Kelso,299000.0,51.44
7413,True,False,-33.4072222,149.6126374,19.4,The Whiddon Group - Kelso,450000.0,77.42
7414,True,False,-33.4072222,149.6126374,22.7,The Whiddon Group - Kelso,400000.0,68.82
7415,True,False,-33.4072222,149.6126374,19.4,The Whiddon Group - Kelso,350000.0,60.22
7416,True,False,-33.4072222,149.6126374,19.4,The Whiddon Group - Kelso,415000.0,71.4
7417,True,False,-33.4072222,149.6126374,22.7,The Whiddon Group - Kelso,375000.0,64.52
7418,True,False,-33.4072222,149.6126374,19.4,The Whiddon Group - Kelso,400000.0,68.82
7419,True,False,-33.4072222,149.6126374,22.7,The Whiddon Group - Kelso,350000.0,60.22
7420,True,False,-30.0279737,148.1155818,22.7,The Whiddon Group - Kookaburra Court,350000.0,60.22
7421,True,False,-28.617643,153.002604,22.7,The Whiddon Group - Kyogle,350000.0,60.22
7422,True,False,-32.6943675,151.5994677,27m2,The Whiddon Group - Largs,325000.0,55.92
7423,True,False,-32.6943675,151.5994677,22m2,The Whiddon Group - Largs,299000.0,51.44
7424,True,False,-31.6457306,152.7934906,25m2,The Whiddon Group - Laurieton,299000.0,51.44
7425,True,False,-31.6457306,152.7934906,25,The Whiddon Group - Laurieton,299000.0,51.44
7426,True,False,-29.4544895,153.2026989,20-22m2,The Whiddon Group - Maclean,299000.0,51.44
7428,True,False,-29.4544895,153.2026989,26.5m2,The Whiddon Group - Maclean,325000.0,55.92
7429,True,False,-29.4544895,153.2026989,26.5,The Whiddon Group - Maclean,325000.0,55.92
